r030,txt,rate,cc,exchangedate
233,Крони Естонії,0.345823,EEK,06.01.2000
246,Фінські маpки,0.910057,FIM,06.01.2000
250,Фpанцузський фpанк,0.824895,FRF,06.01.2000
280,Hімецькі маpки,2.766578,DEM,06.01.2000
348,Форинт,0.0207149,HUF,06.01.2000
352,Ісландські крони,0.072968,ISK,06.01.2000
380,Італійські ліpи,0.00279453,ITL,06.01.2000
392,Єна,0.0504095,JPY,06.01.2000
398,Теньге,0.037763,KZT,06.01.2000
428,Лати Латвії,9.013644,LVL,06.01.2000
440,Литовські лити,1.304725,LTL,06.01.2000
498,Молдовський лей,0.449003,MDL,06.01.2000
528,Голандські гульдени,2.455385,NLG,06.01.2000
578,Норвезька крона,0.65939,NOK,06.01.2000
702,Сінгапурський долар,3.128837,SGD,06.01.2000
703,Словацькі крони,0.123295,SKK,06.01.2000
724,Іспанскі пессети,0.0325205,ESP,06.01.2000
752,Шведська крона,0.626159,SEK,06.01.2000
756,Швейцарський франк,3.369213,CHF,06.01.2000
792,Турецькі ліри,9.68e-06,TRL,06.01.2000
795,Манати Туркменії,0.00100363,TMM,06.01.2000
826,Фунт стерлінгів,8.556223,GBP,06.01.2000
840,Долар США,5.2189,USD,06.01.2000
860,Узбецький сум,0.037278,UZS,06.01.2000
960,СПЗ(спец.права запозичення),7.256424,XDR,06.01.2000
974,Бiлоруський рубль,0.00576,BYR,06.01.2000
978,Євро,5.410956,EUR,06.01.2000
985,Злотий,1.265188,PLN,06.01.2000
300,Грецькі драхми,0.0163493,GRD,06.01.2000
372,Ірландські фунти,6.870496,IEP,06.01.2000
620,Португальські ескудо,0.002699,PTE,06.01.2000
810,Російські рублі,0.19401,RUR,06.01.2000
31,Азербайджанський манат,0.00119219,AZM,07.01.2000
36,Австралійський долар,3.42552,AUD,07.01.2000
40,Австрійський шилінг,0.394026,ATS,07.01.2000
56,Бельгійський франк,0.1344057,BEF,07.01.2000
124,Канадський долар,3.592812,CAD,07.01.2000
203,Чеська крона,0.146108,CZK,07.01.2000
208,Данська крона,0.72835,DKK,07.01.2000
233,Крони Естонії,0.346523,EEK,07.01.2000
246,Фінські маpки,0.9119,FIM,07.01.2000
250,Фpанцузський фpанк,0.826565,FRF,07.01.2000
280,Hімецькі маpки,2.77218,DEM,07.01.2000
348,Форинт,0.0207168,HUF,07.01.2000
352,Ісландські крони,0.072819,ISK,07.01.2000
380,Італійські ліpи,0.00280018,ITL,07.01.2000
392,Єна,0.0498704,JPY,07.01.2000
398,Теньге,0.037767,KZT,07.01.2000
428,Лати Латвії,9.014508,LVL,07.01.2000
440,Литовські лити,1.30485,LTL,07.01.2000
498,Молдовський лей,0.448842,MDL,07.01.2000
528,Голандські гульдени,2.460357,NLG,07.01.2000
578,Норвезька крона,0.660967,NOK,07.01.2000
702,Сінгапурський долар,3.129137,SGD,07.01.2000
703,Словацькі крони,0.123307,SKK,07.01.2000
724,Іспанскі пессети,0.0325864,ESP,07.01.2000
752,Шведська крона,0.62721,SEK,07.01.2000
756,Швейцарський франк,3.374354,CHF,07.01.2000
792,Турецькі ліри,9.68e-06,TRL,07.01.2000
795,Манати Туркменії,0.00100373,TMM,07.01.2000
826,Фунт стерлінгів,8.603479,GBP,07.01.2000
840,Долар США,5.2194,USD,07.01.2000
860,Узбецький сум,0.037281,UZS,07.01.2000
960,СПЗ(спец.права запозичення),7.22675,XDR,07.01.2000
974,Бiлоруський рубль,0.00571,BYR,07.01.2000
978,Євро,5.421913,EUR,07.01.2000
985,Злотий,1.265309,PLN,07.01.2000
300,Грецькі драхми,0.0163779,GRD,07.01.2000
372,Ірландські фунти,6.884409,IEP,07.01.2000
620,Португальські ескудо,0.0027044,PTE,07.01.2000
810,Російські рублі,0.19168,RUR,07.01.2000
31,Азербайджанський манат,0.00119219,AZM,08.01.2000
36,Австралійський долар,3.42552,AUD,08.01.2000
40,Австрійський шилінг,0.394026,ATS,08.01.2000
56,Бельгійський франк,0.1344057,BEF,08.01.2000
124,Канадський долар,3.592812,CAD,08.01.2000
203,Чеська крона,0.146108,CZK,08.01.2000
208,Данська крона,0.72835,DKK,08.01.2000
233,Крони Естонії,0.346523,EEK,08.01.2000
246,Фінські маpки,0.9119,FIM,08.01.2000
250,Фpанцузський фpанк,0.826565,FRF,08.01.2000
280,Hімецькі маpки,2.77218,DEM,08.01.2000
348,Форинт,0.0207168,HUF,08.01.2000
352,Ісландські крони,0.072819,ISK,08.01.2000
380,Італійські ліpи,0.00280018,ITL,08.01.2000
392,Єна,0.0498704,JPY,08.01.2000
398,Теньге,0.037767,KZT,08.01.2000
428,Лати Латвії,9.014508,LVL,08.01.2000
440,Литовські лити,1.30485,LTL,08.01.2000
498,Молдовський лей,0.448842,MDL,08.01.2000
528,Голандські гульдени,2.460357,NLG,08.01.2000
578,Норвезька крона,0.660967,NOK,08.01.2000
702,Сінгапурський долар,3.129137,SGD,08.01.2000
703,Словацькі крони,0.123307,SKK,08.01.2000
